Model,BLEU-1,BLEU-4,Parameters
GRU-512 (Frozen CNN),0.2903999550439259,0.05034303496257492,5093993
LSTM-512 (Frozen CNN),0.2280076700438029,0.03752206691035485,5881449
GRU-256 (Frozen CNN),0.22272808741563585,0.03543543804210762,3165289
GRU-512 (Fine-tuned CNN),0.23491317835619757,0.04153495954229201,5093993
